% RZ Dra (Kreiner+ 1994) (ReadMe)
% Differential B photometry of RZ Dra
%
%     HJD      dVmag
%      d       mag
 2448128.5733 -0.523
 2448128.5736 -0.521
 2448128.5739 -0.528
 2448128.5743 -0.530
 2448128.5746 -0.540
 2448128.5750 -0.535
 2448128.5753 -0.527
 2448128.5757 -0.533
 2448128.5806 -0.552
 2448128.5809 -0.543
 2448128.5812 -0.526
 2448128.5816 -0.536
 2448128.5819 -0.532
 2448128.5823 -0.535
 2448128.5826 -0.519
 2448128.5830 -0.554
 2448128.5876 -0.526
 2448128.5880 -0.518
 2448128.5883 -0.521
 2448128.5887 -0.526
 2448128.5890 -0.514
 2448128.5894 -0.527
 2448128.5897 -0.531
 2448128.5901 -0.524
 2448128.5934 -0.521
 2448128.5937 -0.530
 2448128.5941 -0.520
 2448130.4613 -0.497
 2448130.4616 -0.479
 2448130.4619 -0.494
 2448130.4623 -0.488
 2448130.4626 -0.488
 2448130.4630 -0.484
 2448130.4633 -0.501
 2448130.4637 -0.489
 2448130.4640 -0.509
 2448130.4644 -0.503
 2448130.4713 -0.486
 2448130.4716 -0.489
 2448130.4720 -0.502
 2448130.4723 -0.503
 2448130.4727 -0.498
 2448130.4730 -0.495
 2448130.4734 -0.514
 2448130.4737 -0.513
 2448130.4741 -0.508
 2448130.4744 -0.507
 2448130.4802 -0.519
 2448130.4806 -0.516
 2448130.4809 -0.524
 2448130.4813 -0.521
 2448130.4816 -0.531
 2448130.4820 -0.515
 2448130.4823 -0.517
 2448130.4827 -0.521
 2448130.4830 -0.516
 2448130.4834 -0.517
 2448130.4900 -0.531
 2448130.4904 -0.521
 2448130.4907 -0.530
 2448130.4911 -0.522
 2448130.4914 -0.527
 2448130.4918 -0.539
 2448130.4921 -0.530
 2448130.4925 -0.525
 2448130.4928 -0.515
 2448130.4932 -0.521
 2448130.4992 -0.542
 2448130.4995 -0.527
 2448130.4999 -0.533
 2448130.5002 -0.533
 2448130.5006 -0.524
 2448130.5009 -0.528
 2448130.5013 -0.533
 2448130.5016 -0.520
 2448130.5020 -0.527
 2448130.5023 -0.515
 2448130.5156 -0.542
 2448130.5159 -0.544
 2448130.5163 -0.539
 2448130.5166 -0.526
 2448130.5170 -0.526
 2448130.5173 -0.527
 2448130.5177 -0.526
 2448130.5180 -0.535
 2448131.3502 -0.535
 2448131.3506 -0.522
 2448131.3509 -0.512
 2448131.3513 -0.520
 2448131.3516 -0.521
 2448131.3520 -0.537
 2448131.3523 -0.540
 2448131.3526 -0.529
 2448131.3530 -0.537
 2448131.3533 -0.547
 2448131.3591 -0.506
 2448131.3595 -0.508
 2448131.3598 -0.521
 2448131.3602 -0.511
 2448131.3605 -0.503
 2448131.3609 -0.507
 2448131.3612 -0.511
 2448131.3616 -0.511
 2448131.3619 -0.521
 2448131.3623 -0.511
 2448131.3693 -0.485
 2448131.3696 -0.494
 2448131.3699 -0.487
 2448131.3703 -0.489
 2448131.3706 -0.494
 2448131.3710 -0.487
 2448131.3713 -0.492
 2448131.3717 -0.487
 2448131.3720 -0.500
 2448131.3724 -0.492
 2448131.3785 -0.490
 2448131.3788 -0.474
 2448131.3791 -0.490
 2448131.3795 -0.489
 2448131.3798 -0.487
 2448131.3802 -0.482
 2448131.3805 -0.488
 2448131.3809 -0.484
 2448131.3812 -0.478
 2448131.3816 -0.487
 2448131.3888 -0.459
 2448131.3891 -0.464
 2448131.3895 -0.450
 2448131.3898 -0.455
 2448131.3901 -0.468
 2448131.3905 -0.459
 2448131.3908 -0.459
 2448131.3912 -0.465
 2448131.3915 -0.462
 2448131.3919 -0.448
 2448131.3977 -0.424
 2448131.3980 -0.438
 2448131.3984 -0.438
 2448131.3987 -0.433
 2448131.3991 -0.439
 2448131.3994 -0.439
 2448131.3998 -0.440
 2448131.4001 -0.433
 2448131.4005 -0.431
 2448131.4008 -0.431
 2448131.4065 -0.422
 2448131.4069 -0.420
 2448131.4072 -0.413
 2448131.4076 -0.415
 2448131.4079 -0.403
 2448131.4083 -0.403
 2448131.4086 -0.412
 2448131.4090 -0.415
 2448131.4093 -0.413
 2448131.4096 -0.423
