%-----------------------------------------------------------------------
% vega_spec function                                          AstroSpec
% Description: Get Vega spectrum from Kurucz (1993) models.
%              Teff = 9550,  log g = 3.95, log z = -0.5e0.
%              V-band magnityde = +0.034 mag (measured from spectrum,
%              assuming 3670 Jy for V=0).
%              Multiplied by 1.006 so that the normalization coincides
%              with Fukugita.
% Output : - Vega spectrum [Wavelength(A), Flux(erg/cm^2/s)]
% Tested : Matlab 7.0
%     By : Eran O. Ofek                   March 2005
%    URL : http://wise-obs.tau.ac.il/~eran/matlab.html
% Example: Spec=vega_spec;
%-----------------------------------------------------------------------


7450. 1.3949e-09
7470. 1.38122e-09
7490. 1.37129e-09
7510. 1.36065e-09
7530. 1.34989e-09
7550. 1.33906e-09
7570. 1.32779e-09
7590. 1.31687e-09
7610. 1.30605e-09
7630. 1.29516e-09
7650. 1.28424e-09
7670. 1.27338e-09
7690. 1.26333e-09
7710. 1.25226e-09
7730. 1.24302e-09
7750. 1.2328e-09
7770. 1.20285e-09
7790. 1.21302e-09
7810. 1.20322e-09
7830. 1.19311e-09
7850. 1.18279e-09
7870. 1.17092e-09
7890. 1.16029e-09
7910. 1.15458e-09
7930. 1.14595e-09
7950. 1.13455e-09
7970. 1.1283e-09
7990. 1.11287e-09
8010. 1.11048e-09
8030. 1.1017e-09
8050. 1.09306e-09
8070. 1.08439e-09
8090. 1.07593e-09
8110. 1.06751e-09
8130. 1.05919e-09
8150. 1.05094e-09
8170. 1.04276e-09
8190. 1.03356e-09
8210. 1.03063e-09
8230. 1.02319e-09
8250. 1.01605e-09
8270. 1.01021e-09
8290. 1.00232e-09
8310. 9.93708e-10
8330. 9.80506e-10
8350. 9.67352e-10
8370. 9.5529e-10
8390. 9.36256e-10
8410. 9.18894e-10
8430. 9.07333e-10
8450. 9.02448e-10
8470. 8.69405e-10
8490. 9.03754e-10
8510. 8.44695e-10
8530. 9.13917e-10
8550. 7.9739e-10
8570. 9.36609e-10
8590. 8.40646e-10
8610. 8.18566e-10
8630. 9.53768e-10
8650. 8.87222e-10
8670. 7.28561e-10
8690. 9.15921e-10
8710. 9.63207e-10
8730. 9.02034e-10
8750. 7.00657e-10
8770. 8.48379e-10
8790. 9.43402e-10
8810. 9.54145e-10
8830. 9.22463e-10
8850. 8.01018e-10
8870. 6.74807e-10
8890. 8.64482e-10
8910. 9.17359e-10
8930. 9.25093e-10
8950. 9.21729e-10
8970. 9.01578e-10
8990. 8.44014e-10
9010. 6.59901e-10
9030. 7.22425e-10
9050. 8.46836e-10
9070. 8.71135e-10
9090. 8.70505e-10
9110. 8.74479e-10
9130. 8.70878e-10
9150. 8.62706e-10
9170. 8.49376e-10
9190. 8.226e-10
9210. 7.48052e-10
9230. 5.78398e-10
9250. 7.17074e-10
9270. 7.86683e-10
9290. 8.12096e-10
9310. 8.14002e-10
9330. 8.11031e-10
9350. 8.06594e-10
9370. 8.01326e-10
9390. 7.9457e-10
9410. 7.84319e-10
9430. 7.82907e-10
9450. 7.7587e-10
9470. 7.6707e-10
9490. 7.5396e-10
9510. 7.26784e-10
9530. 6.50479e-10
9550. 5.21782e-10
9570. 6.57886e-10
9590. 7.1186e-10
9610. 7.23493e-10
9630. 7.22221e-10
9650. 7.2283e-10
9670. 7.16284e-10
9690. 7.14486e-10
9710. 7.11095e-10
9730. 7.06206e-10
9750. 7.01077e-10
9770. 6.9638e-10
9790. 6.91469e-10
9810. 6.86543e-10
9830. 6.81554e-10
9850. 6.76527e-10
9870. 6.7185e-10
9890. 6.65057e-10
9910. 6.6103e-10
9930. 6.55426e-10
9950. 6.49909e-10
9970. 6.43007e-10
9990. 6.32867e-10
10025. 5.6472e-10
10075. 5.3604e-10
10125. 6.05052e-10
10175. 6.02631e-10
10225. 5.94675e-10
10275. 5.84833e-10
10325. 5.74954e-10
10375. 5.65435e-10
10425. 5.56093e-10
10475. 5.45893e-10
10525. 5.37161e-10
10575. 5.28759e-10
10625. 5.20302e-10
10675. 5.07652e-10
10725. 5.01494e-10
10775. 4.94126e-10
10825. 4.84496e-10
10875. 4.69195e-10
10925. 3.90777e-10
10975. 4.27256e-10
11025. 4.52282e-10
11075. 4.48881e-10
11125. 4.43101e-10
11175. 4.36442e-10
11225. 4.29753e-10
11275. 4.19953e-10
11325. 4.13805e-10
11375. 4.09902e-10
11425. 4.03465e-10
11475. 3.9777e-10
11525. 3.91821e-10
11575. 3.85836e-10
11625. 3.79049e-10
11675. 3.7238e-10
11725. 3.68765e-10
11775. 3.60363e-10
11825. 3.56849e-10
11875. 3.51122e-10
11925. 3.47471e-10
11975. 3.41448e-10
12025. 3.37227e-10
12075. 3.31979e-10
12125. 3.27337e-10
12175. 3.22807e-10
12225. 3.18103e-10
12275. 3.13355e-10
12325. 3.08953e-10
12375. 3.04659e-10
12425. 3.00484e-10
12475. 2.9582e-10
12525. 2.91989e-10
12575. 2.87239e-10
12625. 2.83324e-10
12675. 2.78963e-10
12725. 2.73452e-10
12775. 2.60036e-10
12825. 2.22584e-10
12875. 2.55827e-10
12925. 2.59192e-10
12975. 2.56876e-10
13025. 2.541e-10
13075. 2.50697e-10
13125. 2.47297e-10
13175. 2.43629e-10
13225. 2.40711e-10
13275. 2.37508e-10
13325. 2.34347e-10
13375. 2.31226e-10
13425. 2.28158e-10
13475. 2.2509e-10
13525. 2.2201e-10
13575. 2.19148e-10
13625. 2.1636e-10
13675. 2.13468e-10
13725. 2.10362e-10
13775. 2.08041e-10
13825. 2.05354e-10
13875. 2.02785e-10
13925. 2.00066e-10
13975. 1.97598e-10
14025. 1.95099e-10
14075. 1.92632e-10
14125. 1.9017e-10
14175. 1.87785e-10
14225. 1.85418e-10
14275. 1.8309e-10
14325. 1.80802e-10
